Perl,,"Definitely lost",,"Indirectly lost",,"Possibly lost",,"Still reachable",,Suppressed,,"ERROR SUMMARY",,,
version,Config,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,errors,contexts,suppressed,from
5.019008,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.019009,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,194,5,0,0
5.019009,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,195,6,0,0
5.019010,x86_64-linux,0,0,0,0,0,0,1462,4,0,0,0,0,0,0
5.019010,x86_64-linux-thread-multi-ld,0,0,0,0,0,0,1548,5,0,0,0,0,0,0
5.019011,x86_64-linux,0,0,0,0,0,0,7355,20,0,0,0,0,0,0
5.019011,x86_64-linux-thread-multi-ld,108,1,864,8,0,0,7603,21,0,0,1,1,0,0
5.020000,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,0,0,0,0
5.020000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.020001,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,0,0,0,0
5.020001,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.020002,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,0,0,0,0
5.020002,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.020003,x86_64-linux,0,0,0,0,0,0,7375,21,0,0,0,0,0,0
5.020003,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.021000,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,0,0,0,0
5.021000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.021001,x86_64-linux,0,0,0,0,0,0,7343,20,0,0,0,0,0,0
5.021001,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7591,21,0,0,1,1,0,0
5.021002,x86_64-linux,0,0,0,0,0,0,7415,20,0,0,0,0,0,0
5.021002,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.021003,x86_64-linux,0,0,0,0,0,0,7415,20,0,0,0,0,0,0
5.021003,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.021004,x86_64-linux,0,0,0,0,0,0,7415,20,0,0,0,0,0,0
5.021004,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.021005,x86_64-linux,0,0,0,0,0,0,7415,20,0,0,0,0,0,0
5.021005,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.021006,x86_64-linux,0,0,0,0,0,0,7415,20,0,0,0,0,0,0
5.021006,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.021007,x86_64-linux,76800,150,1699840,454,0,0,7447,21,0,0,13,13,0,0
5.021007,x86_64-linux-thread-multi-ld,76907,151,1700696,462,0,0,7663,21,0,0,14,14,0,0
5.021008,x86_64-linux,76800,150,1699840,454,0,0,7447,21,0,0,13,13,0,0
5.021008,x86_64-linux-thread-multi-ld,76907,151,1700696,462,0,0,7663,21,0,0,14,14,0,0
5.021009,x86_64-linux,76800,150,1699840,454,0,0,7447,21,0,0,13,13,0,0
5.021009,x86_64-linux-thread-multi-ld,76907,151,1700696,462,0,0,7663,21,0,0,14,14,0,0
5.021010,x86_64-linux,0,0,0,0,0,0,7459,21,0,0,0,0,0,0
5.021010,x86_64-linux-thread-multi-ld,108,1,864,8,0,0,7675,21,0,0,1,1,0,0
5.021011,x86_64-linux,0,0,0,0,0,0,7459,21,0,0,0,0,0,0
5.021011,x86_64-linux-thread-multi-ld,108,1,864,8,0,0,7675,21,0,0,1,1,0,0
5.022000,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.022000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.022001,x86_64-linux,0,0,0,0,1448,21,61758,543,0,0,21,21,0,0
